InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
187313,D400,T-shirt,4,2023-01-02 20:00:00,63.44,10022,United Kingdom,253.76
110627,D400,T-shirt,8,2023-01-02 21:00:00,72.92,10192,Netherlands,583.36
108792,D400,Shoes,3,2023-01-02 22:00:00,10.01,10166,Netherlands,30.03
173969,A100,Shoes,3,2023-01-02 23:00:00,68.1,10194,Netherlands,204.29999999999998
143001,D400,Watch,9,2023-01-03 00:00:00,10.38,10172,United Kingdom,93.42
176552,D400,Shoes,5,2023-01-03 01:00:00,7.68,10194,France,38.4
123897,D400,Shoes,1,2023-01-03 02:00:00,19.48,10062,United Kingdom,19.48
168148,C300,Bag,7,2023-01-03 03:00:00,67.1,10069,Germany,469.69999999999993
123483,A100,Watch,7,2023-01-03 04:00:00,10.02,10053,France,70.14
148555,C300,Shoes,6,2023-01-03 05:00:00,6.99,10026,United Kingdom,41.94
117159,A100,Shoes,6,2023-01-03 06:00:00,16.21,10092,Germany,97.26
180077,B200,Shoes,3,2023-01-03 07:00:00,95.22,10078,Germany,285.65999999999997
135920,C300,Bag,3,2023-01-03 08:00:00,91.19,10035,Spain,273.57
192067,B200,Bag,9,2023-01-03 09:00:00,13.21,10132,Spain,118.89000000000001
167121,D400,Bag,1,2023-01-03 10:00:00,33.88,10194,Netherlands,33.88
169479,B200,T-shirt,7,2023-01-03 11:00:00,94.99,10178,France,664.93
189475,B200,Bag,7,2023-01-03 12:00:00,14.28,10031,United Kingdom,99.96
119457,B200,Shoes,8,2023-01-03 13:00:00,13.99,10148,Netherlands,111.92
166557,B200,Bag,6,2023-01-03 14:00:00,13.17,10016,France,79.02
177189,A100,Bag,8,2023-01-03 15:00:00,97.77,10153,Spain,782.16
178953,C300,Watch,1,2023-01-03 16:00:00,75.6,10021,United Kingdom,75.6
152995,A100,Shoes,1,2023-01-03 17:00:00,25.38,10040,Germany,25.38
140757,A100,Bag,9,2023-01-03 18:00:00,9.36,10058,Germany,84.24
109692,A100,T-shirt,4,2023-01-03 19:00:00,96.7,10074,Netherlands,386.8
145758,B200,Watch,3,2023-01-03 20:00:00,45.42,10121,Netherlands,136.26
172409,A100,Bag,6,2023-01-03 21:00:00,61.85,10009,United Kingdom,371.1
171211,C300,Watch,9,2023-01-03 22:00:00,31.52,10086,Germany,283.68
165697,A100,Watch,4,2023-01-03 23:00:00,77.04,10004,Netherlands,308.16
137065,D400,T-shirt,9,2023-01-04 00:00:00,23.7,10054,Germany,213.29999999999998
192093,B200,T-shirt,5,2023-01-04 01:00:00,79.76,10025,Spain,398.8
199299,D400,T-shirt,7,2023-01-04 02:00:00,26.91,10003,Netherlands,188.37
132606,C300,Shoes,3,2023-01-04 03:00:00,14.3,10106,France,42.900000000000006
111534,C300,Watch,3,2023-01-04 04:00:00,50.49,10026,Netherlands,151.47
194663,C300,Bag,3,2023-01-04 05:00:00,82.26,10125,Spain,246.78000000000003
140397,C300,T-shirt,8,2023-01-04 06:00:00,41.56,10185,United Kingdom,332.48
191387,A100,T-shirt,6,2023-01-04 07:00:00,7.74,10002,Germany,46.44
101016,B200,Watch,9,2023-01-04 08:00:00,57.56,10049,United Kingdom,518.04
189789,C300,Watch,9,2023-01-04 09:00:00,69.64,10124,Netherlands,626.76
155591,D400,Watch,8,2023-01-04 10:00:00,75.37,10025,France,602.96
189812,C300,Bag,1,2023-01-04 11:00:00,43.18,10145,United Kingdom,43.18
123247,B200,Shoes,6,2023-01-04 12:00:00,14.22,10134,France,85.32000000000001
124300,D400,Shoes,4,2023-01-04 13:00:00,60.51,10116,Netherlands,242.04
174065,D400,T-shirt,4,2023-01-04 14:00:00,36.31,10044,France,145.24
182798,D400,Shoes,3,2023-01-04 15:00:00,94.95,10140,France,284.85
109268,A100,Bag,9,2023-01-04 16:00:00,52.76,10005,Spain,474.84
186807,C300,Shoes,2,2023-01-04 17:00:00,49.87,10162,United Kingdom,99.74
112185,A100,Bag,1,2023-01-04 18:00:00,34.37,10052,Netherlands,34.37
163704,D400,T-shirt,3,2023-01-04 19:00:00,37.18,10195,Spain,111.53999999999999
186779,A100,Watch,4,2023-01-04 20:00:00,53.71,10169,France,214.84
139099,A100,Bag,4,2023-01-04 21:00:00,34.13,10003,Spain,136.52
108571,A100,Watch,6,2023-01-04 22:00:00,89.77,10059,Spain,538.62
138044,C300,T-shirt,1,2023-01-04 23:00:00,46.71,10172,France,46.71
151214,D400,Bag,1,2023-01-05 00:00:00,32.74,10071,Netherlands,32.74
161228,D400,Bag,2,2023-01-05 01:00:00,19.76,10074,Germany,39.52
148984,C300,Shoes,4,2023-01-05 02:00:00,68.87,10065,Spain,275.48
140774,A100,Bag,7,2023-01-05 03:00:00,7.45,10021,United Kingdom,52.15
102568,A100,T-shirt,6,2023-01-05 04:00:00,47.75,10139,France,286.5
162592,B200,Watch,9,2023-01-05 05:00:00,57.26,10050,Germany,515.34
167563,B200,Bag,7,2023-01-05 06:00:00,37.28,10144,Spain,260.96000000000004
102695,B200,T-shirt,5,2023-01-05 07:00:00,76.23,10163,France,381.15000000000003
148190,C300,T-shirt,6,2023-01-05 08:00:00,69.19,10092,France,415.14
105258,D400,Bag,9,2023-01-05 09:00:00,97.28,10048,Spain,875.52
187538,B200,Shoes,1,2023-01-05 10:00:00,53.33,10015,United Kingdom,53.33
139504,D400,Bag,9,2023-01-05 11:00:00,56.09,10043,France,504.81000000000006
133159,D400,Bag,6,2023-01-05 12:00:00,28.35,10106,France,170.10000000000002
113986,D400,Shoes,4,2023-01-05 13:00:00,41.62,10149,Spain,166.48
161858,C300,T-shirt,5,2023-01-05 14:00:00,7.55,10093,Germany,37.75
112666,C300,Bag,1,2023-01-05 15:00:00,70.48,10007,France,70.48
138660,C300,Shoes,7,2023-01-05 16:00:00,34.6,10109,France,242.20000000000002
103561,C300,Watch,8,2023-01-05 17:00:00,56.33,10017,Spain,450.64
126854,B200,Watch,5,2023-01-05 18:00:00,29.22,10079,France,146.1
164505,A100,Shoes,2,2023-01-05 19:00:00,64.0,10117,Spain,128.0
152251,A100,T-shirt,8,2023-01-05 20:00:00,47.52,10071,United Kingdom,380.16
122662,A100,Shoes,7,2023-01-05 21:00:00,50.78,10093,Spain,355.46000000000004
108392,B200,T-shirt,9,2023-01-05 22:00:00,94.55,10037,Germany,850.9499999999999
130535,A100,Watch,4,2023-01-05 23:00:00,72.09,10156,France,288.36
178603,B200,Bag,9,2023-01-06 00:00:00,29.88,10080,United Kingdom,268.92
152256,B200,Shoes,4,2023-01-06 01:00:00,52.87,10106,France,211.48
189135,B200,Watch,3,2023-01-06 02:00:00,49.33,10129,France,147.99
135222,A100,Bag,3,2023-01-06 03:00:00,80.53,10186,Spain,241.59
177373,D400,Watch,2,2023-01-06 04:00:00,84.17,10041,France,168.34
179575,A100,Shoes,3,2023-01-06 05:00:00,31.93,10117,United Kingdom,95.78999999999999
196354,A100,Shoes,8,2023-01-06 06:00:00,83.01,10020,Netherlands,664.08
184651,C300,Bag,8,2023-01-06 07:00:00,22.05,10129,France,176.4
163335,B200,Shoes,2,2023-01-06 08:00:00,77.46,10004,Spain,154.92
110965,D400,Watch,2,2023-01-06 09:00:00,28.63,10016,Germany,57.26
124538,C300,Bag,2,2023-01-06 10:00:00,33.3,10023,France,66.6
170592,D400,Bag,7,2023-01-06 11:00:00,85.98,10135,Spain,601.86
198018,D400,Watch,6,2023-01-06 12:00:00,44.91,10157,France,269.46
108110,B200,T-shirt,1,2023-01-06 13:00:00,99.1,10177,Netherlands,99.1
179309,A100,Bag,2,2023-01-06 14:00:00,19.43,10149,Netherlands,38.86
127266,B200,T-shirt,1,2023-01-06 15:00:00,49.02,10058,United Kingdom,49.02
152992,B200,Watch,7,2023-01-06 16:00:00,74.58,10151,Netherlands,522.06
182948,C300,Watch,6,2023-01-06 17:00:00,5.51,10025,Spain,33.06
198806,B200,Bag,2,2023-01-06 18:00:00,19.43,10060,Netherlands,38.86
106910,A100,Shoes,2,2023-01-06 19:00:00,6.93,10135,Spain,13.86
190982,D400,Bag,2,2023-01-06 20:00:00,99.32,10011,France,198.64
100206,B200,Shoes,8,2023-01-06 21:00:00,77.26,10013,United Kingdom,618.08
187054,D400,T-shirt,7,2023-01-06 22:00:00,40.49,10029,United Kingdom,283.43
187897,B200,Shoes,1,2023-01-06 23:00:00,19.85,10182,Netherlands,19.85
123419,D400,Bag,4,2023-01-07 00:00:00,13.59,10098,Germany,54.36
150636,B200,Shoes,4,2023-01-07 01:00:00,55.53,10188,Netherlands,222.12
150015,C300,Watch,7,2023-01-07 02:00:00,97.71,10061,Germany,683.9699999999999
154268,D400,T-shirt,2,2023-01-07 03:00:00,69.09,10030,Netherlands,138.18
187939,B200,Watch,4,2023-01-07 04:00:00,39.69,10026,Spain,158.76
118141,B200,Watch,1,2023-01-07 05:00:00,52.58,10000,Spain,52.58
180356,C300,Watch,4,2023-01-07 06:00:00,99.9,10040,Germany,399.6
171910,C300,Watch,1,2023-01-07 07:00:00,54.28,10141,United Kingdom,54.28
156044,C300,Shoes,2,2023-01-07 08:00:00,96.6,10073,Germany,193.2
167214,D400,Watch,2,2023-01-07 09:00:00,6.55,10177,France,13.1
133827,D400,Shoes,3,2023-01-07 10:00:00,73.49,10041,United Kingdom,220.46999999999997
155820,C300,Watch,8,2023-01-07 11:00:00,64.58,10198,Germany,516.64
162623,A100,Bag,6,2023-01-07 12:00:00,70.11,10039,France,420.65999999999997
181734,A100,Watch,6,2023-01-07 13:00:00,59.2,10013,France,355.20000000000005
175450,B200,Bag,9,2023-01-07 14:00:00,9.2,10099,Netherlands,82.8
193426,A100,Shoes,8,2023-01-07 15:00:00,19.21,10090,Germany,153.68
122299,B200,T-shirt,2,2023-01-07 16:00:00,92.61,10138,Spain,185.22
143585,D400,Shoes,6,2023-01-07 17:00:00,27.13,10190,Netherlands,162.78
164044,D400,T-shirt,1,2023-01-07 18:00:00,99.33,10105,United Kingdom,99.33
142557,A100,T-shirt,9,2023-01-07 19:00:00,69.56,10048,Spain,626.04
149080,D400,Watch,4,2023-01-07 20:00:00,47.21,10164,France,188.84
102693,C300,T-shirt,4,2023-01-07 21:00:00,92.4,10105,United Kingdom,369.6
195003,C300,Shoes,9,2023-01-07 22:00:00,80.52,10137,Netherlands,724.68
195259,A100,Watch,3,2023-01-07 23:00:00,45.75,10181,France,137.25
169163,A100,T-shirt,5,2023-01-08 00:00:00,11.52,10006,France,57.599999999999994
125939,B200,Shoes,1,2023-01-08 01:00:00,87.49,10080,France,87.49
148925,D400,T-shirt,6,2023-01-08 02:00:00,77.68,10139,Spain,466.08000000000004
142941,B200,T-shirt,3,2023-01-08 03:00:00,80.12,10100,Netherlands,240.36
121834,B200,Watch,1,2023-01-08 04:00:00,75.76,10054,Netherlands,75.76
118047,C300,Watch,6,2023-01-08 05:00:00,31.2,10163,Spain,187.2
126105,C300,Shoes,2,2023-01-08 06:00:00,86.59,10006,Netherlands,173.18
175766,C300,Watch,8,2023-01-08 07:00:00,5.21,10151,France,41.68
115707,C300,Watch,2,2023-01-08 08:00:00,27.54,10033,France,55.08
121976,B200,Bag,4,2023-01-08 09:00:00,9.42,10125,France,37.68
144262,C300,Bag,3,2023-01-08 10:00:00,15.51,10192,Netherlands,46.53
123776,D400,Shoes,9,2023-01-08 11:00:00,55.58,10028,Germany,500.21999999999997
130080,C300,Watch,2,2023-01-08 12:00:00,8.54,10025,United Kingdom,17.08
166842,C300,Shoes,3,2023-01-08 13:00:00,22.23,10073,Germany,66.69
161373,C300,Bag,7,2023-01-08 14:00:00,27.11,10192,Spain,189.76999999999998
106776,A100,Bag,4,2023-01-08 15:00:00,67.26,10044,Germany,269.04
192787,D400,Bag,6,2023-01-08 16:00:00,49.54,10016,Germany,297.24
155016,D400,Shoes,3,2023-01-08 17:00:00,48.55,10163,Spain,145.64999999999998
109474,B200,Watch,1,2023-01-08 18:00:00,78.0,10062,Germany,78.0
158053,B200,T-shirt,6,2023-01-08 19:00:00,48.39,10150,United Kingdom,290.34000000000003
121959,C300,Watch,4,2023-01-08 20:00:00,38.11,10092,Netherlands,152.44
105530,A100,Shoes,2,2023-01-08 21:00:00,96.43,10065,Spain,192.86
194856,B200,Bag,7,2023-01-08 22:00:00,5.79,10091,Germany,40.53
103748,B200,T-shirt,5,2023-01-08 23:00:00,34.01,10116,France,170.04999999999998
197504,C300,Shoes,6,2023-01-09 00:00:00,62.89,10041,France,377.34000000000003
198098,C300,Bag,6,2023-01-09 01:00:00,79.37,10070,Spain,476.22
113545,B200,Shoes,9,2023-01-09 02:00:00,82.56,10074,France,743.04
166199,B200,T-shirt,2,2023-01-09 03:00:00,9.38,10070,United Kingdom,18.76
134766,D400,Bag,6,2023-01-09 04:00:00,72.37,10042,Germany,434.22
173530,A100,Watch,9,2023-01-09 05:00:00,73.42,10054,United Kingdom,660.78
193557,D400,Shoes,4,2023-01-09 06:00:00,25.34,10055,United Kingdom,101.36
161087,B200,T-shirt,6,2023-01-09 07:00:00,15.71,10078,Netherlands,94.26
195839,D400,Watch,7,2023-01-09 08:00:00,76.22,10158,Germany,533.54
168840,D400,T-shirt,1,2023-01-09 09:00:00,28.7,10082,Spain,28.7
154384,B200,Shoes,5,2023-01-09 10:00:00,5.16,10183,France,25.8
151005,C300,T-shirt,4,2023-01-09 11:00:00,26.24,10120,Netherlands,104.96
146576,B200,Bag,2,2023-01-09 12:00:00,7.95,10175,United Kingdom,15.9
139353,C300,T-shirt,2,2023-01-09 13:00:00,28.67,10179,France,57.34
162003,B200,Shoes,2,2023-01-09 14:00:00,36.83,10071,Germany,73.66
183211,B200,Bag,7,2023-01-09 15:00:00,30.78,10000,United Kingdom,215.46
152733,B200,T-shirt,4,2023-01-09 16:00:00,92.39,10129,United Kingdom,369.56
165318,A100,T-shirt,6,2023-01-09 17:00:00,27.09,10092,Germany,162.54
189474,C300,Bag,7,2023-01-09 18:00:00,49.42,10041,Spain,345.94
123664,A100,Watch,9,2023-01-09 19:00:00,95.96,10073,Netherlands,863.64
167172,B200,Watch,2,2023-01-09 20:00:00,88.52,10008,Germany,177.04
185616,D400,Bag,9,2023-01-09 21:00:00,34.38,10113,France,309.42
193264,A100,T-shirt,5,2023-01-09 22:00:00,36.02,10030,France,180.10000000000002
126736,C300,Watch,6,2023-01-09 23:00:00,61.37,10095,United Kingdom,368.21999999999997
194209,B200,Bag,6,2023-01-10 00:00:00,92.2,10001,Netherlands,553.2
100854,A100,Shoes,3,2023-01-10 01:00:00,5.95,10023,Spain,17.85
190084,D400,T-shirt,7,2023-01-10 02:00:00,42.35,10170,Spain,296.45
138623,A100,Shoes,7,2023-01-10 03:00:00,85.73,10197,France,600.11
107392,C300,T-shirt,8,2023-01-10 04:00:00,43.99,10199,Spain,351.92
155680,A100,Watch,5,2023-01-10 05:00:00,73.41,10042,France,367.04999999999995
146717,D400,Shoes,2,2023-01-10 06:00:00,70.73,10050,Netherlands,141.46
187092,D400,Shoes,3,2023-01-10 07:00:00,24.52,10173,United Kingdom,73.56
150859,C300,Bag,9,2023-01-10 08:00:00,47.71,10074,France,429.39
126309,D400,Watch,6,2023-01-10 09:00:00,58.79,10098,Netherlands,352.74
187455,B200,Watch,8,2023-01-10 10:00:00,72.97,10000,France,583.76
163734,D400,T-shirt,8,2023-01-10 11:00:00,83.13,10123,Germany,665.04
170467,B200,Bag,5,2023-01-10 12:00:00,77.19,10116,France,385.95
152662,A100,Bag,1,2023-01-10 13:00:00,7.69,10086,Netherlands,7.69
198506,B200,T-shirt,6,2023-01-10 14:00:00,68.71,10194,Spain,412.26
112688,B200,Shoes,7,2023-01-10 15:00:00,52.24,10128,France,365.68
125342,A100,T-shirt,9,2023-01-10 16:00:00,59.52,10117,United Kingdom,535.6800000000001
137157,D400,T-shirt,2,2023-01-10 17:00:00,40.43,10062,Netherlands,80.86
167863,B200,T-shirt,2,2023-01-10 18:00:00,72.83,10075,Spain,145.66
152083,D400,Bag,1,2023-01-10 19:00:00,69.02,10189,Netherlands,69.02
165733,A100,T-shirt,5,2023-01-10 20:00:00,60.05,10188,France,300.25
189045,C300,T-shirt,2,2023-01-10 21:00:00,86.85,10167,Germany,173.7
134698,D400,T-shirt,3,2023-01-10 22:00:00,14.68,10094,Germany,44.04
180623,D400,Watch,2,2023-01-10 23:00:00,33.6,10156,United Kingdom,67.2
122671,C300,Shoes,4,2023-01-11 00:00:00,52.04,10034,United Kingdom,208.16
125184,C300,Shoes,3,2023-01-11 01:00:00,96.07,10091,Spain,288.21
193384,A100,Shoes,9,2023-01-11 02:00:00,11.84,10084,Germany,106.56
142107,D400,Shoes,2,2023-01-11 03:00:00,37.02,10138,France,74.04
186202,D400,Bag,7,2023-01-11 04:00:00,92.96,10138,Netherlands,650.7199999999999
151663,A100,Bag,3,2023-01-11 05:00:00,90.31,10190,Netherlands,270.93
115708,D400,T-shirt,8,2023-01-11 06:00:00,87.2,10196,Germany,697.6
191906,B200,Bag,4,2023-01-11 07:00:00,34.3,10055,Germany,137.2
149811,B200,Shoes,4,2023-01-11 08:00:00,85.45,10006,Netherlands,341.8
102811,B200,Watch,9,2023-01-11 09:00:00,53.01,10050,Spain,477.09
156250,D400,T-shirt,3,2023-01-11 10:00:00,63.88,10038,Netherlands,191.64000000000001
172082,B200,T-shirt,7,2023-01-11 11:00:00,27.69,10041,United Kingdom,193.83
134754,B200,Shoes,1,2023-01-11 12:00:00,72.13,10071,France,72.13
195742,A100,Shoes,7,2023-01-11 13:00:00,36.13,10052,Germany,252.91000000000003
111411,A100,Shoes,2,2023-01-11 14:00:00,37.67,10090,Germany,75.34
102911,C300,Bag,6,2023-01-11 15:00:00,65.5,10148,Spain,393.0
167270,C300,T-shirt,9,2023-01-11 16:00:00,27.78,10029,United Kingdom,250.02
183763,C300,Shoes,6,2023-01-11 17:00:00,26.32,10122,Netherlands,157.92000000000002
108680,C300,Watch,3,2023-01-11 18:00:00,40.07,10128,United Kingdom,120.21000000000001
184896,A100,T-shirt,1,2023-01-11 19:00:00,78.92,10023,United Kingdom,78.92
183879,A100,T-shirt,4,2023-01-11 20:00:00,26.34,10124,Spain,105.36
171295,A100,Bag,4,2023-01-11 21:00:00,79.8,10133,Spain,319.2
188614,B200,T-shirt,8,2023-01-11 22:00:00,71.08,10005,Netherlands,568.64
111111,B200,Shoes,7,2023-01-11 23:00:00,69.51,10126,Netherlands,486.57000000000005
137504,C300,Shoes,7,2023-01-12 00:00:00,50.1,10116,France,350.7
101802,B200,Watch,7,2023-01-12 01:00:00,75.86,10196,United Kingdom,531.02
108155,D400,T-shirt,2,2023-01-12 02:00:00,6.28,10189,Netherlands,12.56
173656,A100,T-shirt,9,2023-01-12 03:00:00,34.03,10034,Spain,306.27
139384,C300,Bag,6,2023-01-12 04:00:00,69.52,10127,France,417.12
147254,C300,Shoes,2,2023-01-12 05:00:00,98.79,10078,France,197.58
121918,D400,Watch,1,2023-01-12 06:00:00,5.24,10034,Spain,5.24
185981,B200,Shoes,1,2023-01-12 07:00:00,53.45,10047,Netherlands,53.45
160713,C300,T-shirt,1,2023-01-12 08:00:00,92.76,10113,Spain,92.76
130306,B200,T-shirt,4,2023-01-12 09:00:00,87.04,10104,Netherlands,348.16
116646,B200,Watch,4,2023-01-12 10:00:00,7.2,10071,Spain,28.8
146843,D400,T-shirt,9,2023-01-12 11:00:00,55.31,10042,Spain,497.79
196601,C300,Watch,1,2023-01-12 12:00:00,5.41,10034,Germany,5.41
190735,B200,Watch,3,2023-01-12 13:00:00,80.01,10132,Netherlands,240.03000000000003
116371,B200,Shoes,3,2023-01-12 14:00:00,34.34,10030,United Kingdom,103.02000000000001
177371,D400,Watch,8,2023-01-12 15:00:00,77.73,10105,Germany,621.84
102049,D400,T-shirt,2,2023-01-12 16:00:00,94.76,10158,Germany,189.52
131616,B200,Bag,6,2023-01-12 17:00:00,97.73,10100,Germany,586.38
120932,D400,Bag,4,2023-01-12 18:00:00,89.94,10007,Germany,359.76
129855,B200,T-shirt,6,2023-01-12 19:00:00,24.39,10005,United Kingdom,146.34
161434,C300,Bag,5,2023-01-12 20:00:00,23.49,10086,Germany,117.44999999999999
172694,A100,Bag,9,2023-01-12 21:00:00,64.45,10180,United Kingdom,580.0500000000001
143016,D400,Watch,9,2023-01-12 22:00:00,56.69,10079,United Kingdom,510.21
107400,A100,Bag,1,2023-01-12 23:00:00,5.91,10043,Germany,5.91
142642,B200,Bag,3,2023-01-13 00:00:00,42.21,10176,France,126.63
115151,B200,Bag,1,2023-01-13 01:00:00,91.14,10135,United Kingdom,91.14
151407,B200,Shoes,6,2023-01-13 02:00:00,90.34,10063,Germany,542.04
166690,A100,T-shirt,3,2023-01-13 03:00:00,24.37,10131,Spain,73.11
104499,B200,Watch,1,2023-01-13 04:00:00,41.29,10031,Spain,41.29
106295,D400,Bag,6,2023-01-13 05:00:00,58.23,10052,Netherlands,349.38
159040,C300,T-shirt,5,2023-01-13 06:00:00,86.01,10112,United Kingdom,430.05
112183,C300,Bag,8,2023-01-13 07:00:00,55.54,10194,United Kingdom,444.32
129299,D400,Shoes,2,2023-01-13 08:00:00,96.98,10062,Spain,193.96
112874,C300,Shoes,8,2023-01-13 09:00:00,80.91,10113,United Kingdom,647.28
132711,A100,Bag,5,2023-01-13 10:00:00,95.54,10187,United Kingdom,477.70000000000005
105539,B200,Bag,8,2023-01-13 11:00:00,74.49,10076,Spain,595.92
153351,B200,Bag,4,2023-01-13 12:00:00,88.37,10160,Germany,353.48
161267,B200,Shoes,4,2023-01-13 13:00:00,83.95,10021,Spain,335.8
148354,A100,Shoes,4,2023-01-13 14:00:00,29.11,10126,France,116.44
102557,A100,T-shirt,6,2023-01-13 15:00:00,26.81,10030,Spain,160.85999999999999
138360,A100,Watch,4,2023-01-13 16:00:00,87.12,10023,Spain,348.48
182018,D400,Watch,9,2023-01-13 17:00:00,13.04,10002,Germany,117.35999999999999
102200,A100,Shoes,9,2023-01-13 18:00:00,43.81,10032,Spain,394.29
168497,C300,Watch,3,2023-01-13 19:00:00,82.96,10153,Spain,248.88
146975,D400,Bag,7,2023-01-13 20:00:00,82.26,10050,Germany,575.82
121357,D400,T-shirt,5,2023-01-13 21:00:00,18.18,10029,Spain,90.9
177505,D400,Shoes,9,2023-01-13 22:00:00,51.33,10162,Germany,461.96999999999997
102869,A100,Shoes,2,2023-01-13 23:00:00,50.58,10024,France,101.16
161135,D400,Watch,3,2023-01-14 00:00:00,35.75,10027,Germany,107.25
150108,A100,Bag,5,2023-01-14 01:00:00,92.13,10096,United Kingdom,460.65
194179,A100,T-shirt,5,2023-01-14 02:00:00,67.05,10086,United Kingdom,335.25
190272,D400,Watch,7,2023-01-14 03:00:00,98.12,10025,Germany,686.84
138467,B200,Shoes,8,2023-01-14 04:00:00,11.34,10119,Spain,90.72
123328,B200,Shoes,8,2023-01-14 05:00:00,42.46,10135,Netherlands,339.68
191412,D400,Watch,1,2023-01-14 06:00:00,84.34,10100,Netherlands,84.34
186831,B200,Bag,1,2023-01-14 07:00:00,45.16,10096,France,45.16
103987,C300,T-shirt,3,2023-01-14 08:00:00,29.88,10014,France,89.64
158871,C300,T-shirt,1,2023-01-14 09:00:00,99.79,10048,Netherlands,99.79
122399,A100,T-shirt,1,2023-01-14 10:00:00,87.95,10110,Netherlands,87.95
146214,B200,T-shirt,8,2023-01-14 11:00:00,56.91,10007,Germany,455.28
199522,C300,Bag,1,2023-01-14 12:00:00,58.36,10182,Netherlands,58.36
186416,D400,Shoes,9,2023-01-14 13:00:00,5.65,10084,United Kingdom,50.85
170271,B200,Shoes,2,2023-01-14 14:00:00,98.19,10127,France,196.38
144064,C300,T-shirt,9,2023-01-14 15:00:00,81.6,10185,France,734.4
170091,C300,T-shirt,7,2023-01-14 16:00:00,8.49,10130,United Kingdom,59.43
140818,D400,T-shirt,9,2023-01-14 17:00:00,21.75,10136,France,195.75
